county,state_name,csa,csa_state
Mercer County,Illinois,Davenport-Moline,IA-IL
Rock Island County,Illinois,Davenport-Moline,IA-IL
Scott County,Iowa,Davenport-Moline,IA-IL
Rhea County,Tennessee,Chattanooga-Cleveland-Dalton,TN-GA
Greene County,Ohio,Dayton-Springfield-Kettering,OH
Miami County,Ohio,Dayton-Springfield-Kettering,OH
Montgomery County,Ohio,Dayton-Springfield-Kettering,OH
Lawrence County,Alabama,Huntsville-Decatur,AL
Morgan County,Alabama,Huntsville-Decatur,AL
Macon County,Illinois,,
Adams County,Indiana,Fort Wayne-Huntington-Auburn,IN
Adams County,Indiana,Fort Wayne-Huntington-Auburn,IN
Defiance County,Ohio,,
Val Verde County,Texas,,
Flagler County,Florida,Orlando-Lakeland-Deltona,FL
Volusia County,Florida,Orlando-Lakeland-Deltona,FL
Luna County,New Mexico,,
Adams County,Colorado,Denver-Aurora,CO
Arapahoe County,Colorado,Denver-Aurora,CO
Broomfield County,Colorado,Denver-Aurora,CO
Clear Creek County,Colorado,Denver-Aurora,CO
Denver County,Colorado,Denver-Aurora,CO
Douglas County,Colorado,Denver-Aurora,CO
Elbert County,Colorado,Denver-Aurora,CO
Gilpin County,Colorado,Denver-Aurora,CO
Jefferson County,Colorado,Denver-Aurora,CO
Park County,Colorado,Denver-Aurora,CO
Beauregard Parish,Louisiana,DeRidder-Fort Polk South,LA
Dallas County,Iowa,Des Moines-Ames-West Des Moines,IA
Guthrie County,Iowa,Des Moines-Ames-West Des Moines,IA
Jasper County,Iowa,Des Moines-Ames-West Des Moines,IA
Madison County,Iowa,Des Moines-Ames-West Des Moines,IA
Polk County,Iowa,Des Moines-Ames-West Des Moines,IA
Warren County,Iowa,Des Moines-Ames-West Des Moines,IA
Wayne County,Michigan,Detroit-Warren-Ann Arbor,MI
Lapeer County,Michigan,Detroit-Warren-Ann Arbor,MI
Livingston County,Michigan,Detroit-Warren-Ann Arbor,MI
Livingston County,Michigan,Detroit-Warren-Ann Arbor,MI
Macomb County,Michigan,Detroit-Warren-Ann Arbor,MI
Oakland County,Michigan,Detroit-Warren-Ann Arbor,MI
St. Clair County,Michigan,Detroit-Warren-Ann Arbor,MI
Billings County,North Dakota,,
Stark County,North Dakota,,
Lee County,Illinois,Dixon-Sterling,IL
Ford County,Kansas,,
Geneva County,Alabama,Dothan-Ozark,AL
Henry County,Alabama,Dothan-Ozark,AL
Houston County,Alabama,Dothan-Ozark,AL
Atkinson County,Georgia,,
Coffee County,Georgia,,
Kent County,Delaware,Philadelphia-Reading-Camden,PA-NJ-DE-MD
Johnson County,Georgia,,
Laurens County,Georgia,,
Treutlen County,Georgia,,
Clearfield County,Pennsylvania,State College-DuBois,PA
Dubuque County,Iowa,,
Carlton County,Minnesota,,
Lake County,Minnesota,,
St. Louis County,Minnesota,,
Douglas County,Wisconsin,,
Moore County,Texas,,
Stephens County,Oklahoma,,
La Plata County,Colorado,,
Bryan County,Oklahoma,Dallas-Fort Worth,TX-OK
Chatham County,North Carolina,Raleigh-Durham-Cary,NC
Chatham County,North Carolina,Raleigh-Durham-Cary,NC
Durham County,North Carolina,Raleigh-Durham-Cary,NC
Durham County,North Carolina,Raleigh-Durham-Cary,NC
Granville County,North Carolina,Raleigh-Durham-Cary,NC
Orange County,North Carolina,Raleigh-Durham-Cary,NC
Orange County,North Carolina,Raleigh-Durham-Cary,NC
Person County,North Carolina,Raleigh-Durham-Cary,NC
Dyer County,Tennessee,,
Maverick County,Texas,,
Talbot County,Maryland,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Monroe County,Pennsylvania,New York-Newark,NY-NJ-CT-PA
Chippewa County,Wisconsin,Eau Claire-Menomonie,WI
Eau Claire County,Wisconsin,Eau Claire-Menomonie,WI
Eagle County,Colorado,Edwards-Glenwood Springs,CO
Effingham County,Illinois,,
Wharton County,Texas,Houston-The Woodlands,TX
Imperial County,California,,
Union County,Arkansas,,
Pasquotank County,North Carolina,Virginia Beach-Norfolk,VA-NC
Perquimans County,North Carolina,Virginia Beach-Norfolk,VA-NC
Hardin County,Kentucky,Louisville/Jefferson County--Elizabethtown--Bardstown,KY-IN
Larue County,Kentucky,Louisville/Jefferson County--Elizabethtown--Bardstown,KY-IN
Meade County,Kentucky,Louisville/Jefferson County--Elizabethtown--Bardstown,KY-IN
Beckham County,Oklahoma,,
Elkhart County,Indiana,South Bend-Elkhart-Mishawaka,IN-MI
Randolph County,West Virginia,,
Elko County,Nevada,,
Eureka County,Nevada,,
Kittitas County,Washington,,
Chemung County,New York,Elmira-Corning,NY
El Paso County,Texas,El Paso-Las Cruces,TX-NM
Hudspeth County,Texas,El Paso-Las Cruces,TX-NM
Chase County,Kansas,,
Lyon County,Kansas,,
Garfield County,Oklahoma,,
Coffee County,Alabama,,
Erie County,Pennsylvania,Erie-Meadville,PA
Delta County,Michigan,,
Rio Arriba County,New Mexico,Albuquerque-Santa Fe-Las Vegas,NM
Barbour County,Alabama,,
Quitman County,Georgia,,
Lane County,Oregon,,
Humboldt County,California,,
Uinta County,Wyoming,,
Posey County,Indiana,,
Vanderburgh County,Indiana,,
Warrick County,Indiana,,
Henderson County,Kentucky,,
Fairbanks North Star Borough,Alaska,,
Jefferson County,Iowa,,
Martin County,Minnesota,,
Marion County,West Virginia,Morgantown-Fairmont,WV
Churchill County,Nevada,,
Clay County,Minnesota,Fargo-Wahpeton,ND-MN
Cass County,North Dakota,Fargo-Wahpeton,ND-MN
Rice County,Minnesota,Minneapolis-St. Paul,MN-WI
St. Francois County,Missouri,St. Louis-St. Charles-Farmington,MO-IL
San Juan County,New Mexico,,
Cumberland County,North Carolina,Fayetteville-Sanford-Lumberton,NC
Harnett County,North Carolina,Fayetteville-Sanford-Lumberton,NC
Hoke County,North Carolina,Fayetteville-Sanford-Lumberton,NC
Benton County,Arkansas,,
Madison County,Arkansas,,
Washington County,Arkansas,,
Otter Tail County,Minnesota,,
Lyon County,Nevada,Reno-Carson City-Fernley,NV
Hancock County,Ohio,Toledo-Findlay-Tiffin,OH
Ben Hill County,Georgia,,
Coconino County,Arizona,,
Genesee County,Michigan,Detroit-Warren-Ann Arbor,MI
Darlington County,South Carolina,,
Florence County,South Carolina,,
Colbert County,Alabama,,
Lauderdale County,Alabama,,
Fond du Lac County,Wisconsin,,
Rutherford County,North Carolina,,
St. Francis County,Arkansas,Memphis-Forrest City,TN-MS-AR
Larimer County,Colorado,,
Webster County,Iowa,,
Pulaski County,Missouri,,
Hancock County,Illinois,Burlington-Fort Madison-Keokuk,IA-IL-MO
Lee County,Iowa,Burlington-Fort Madison-Keokuk,IA-IL-MO
Clark County,Missouri,Burlington-Fort Madison-Keokuk,IA-IL-MO
Morgan County,Colorado,,
DeKalb County,Alabama,Scottsboro-Fort Payne,AL
Vernon Parish,Louisiana,DeRidder-Fort Polk South,LA
Crawford County,Arkansas,,
Franklin County,Arkansas,,
Sebastian County,Arkansas,,
Sequoyah County,Oklahoma,,
Allen County,Indiana,Fort Wayne-Huntington-Auburn,IN
Whitley County,Indiana,Fort Wayne-Huntington-Auburn,IN
Clinton County,Indiana,Lafayette-West Lafayette-Frankfort,IN
Clinton County,Indiana,Lafayette-West Lafayette-Frankfort,IN
Anderson County,Kentucky,Lexington-Fayette--Richmond--Frankfort,KY
Franklin County,Kentucky,Lexington-Fayette--Richmond--Frankfort,KY
Gillespie County,Texas,Kerrville-Fredericksburg,TX
Stephenson County,Illinois,Rockford-Freeport-Rochelle,IL
Dodge County,Nebraska,Omaha-Council Bluffs-Fremont,NE-IA
Sandusky County,Ohio,Toledo-Findlay-Tiffin,OH
Fresno County,California,Fresno-Madera-Hanford,CA
Etowah County,Alabama,,
Cherokee County,South Carolina,Greenville-Spartanburg-Anderson,SC
Cherokee County,South Carolina,Greenville-Spartanburg-Anderson,SC
Alachua County,Florida,Gainesville-Lake City,FL
Gilchrist County,Florida,Gainesville-Lake City,FL
Levy County,Florida,Gainesville-Lake City,FL
Hall County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Cooke County,Texas,Dallas-Fort Worth,TX-OK
Knox County,Illinois,,
McKinley County,New Mexico,,
Finney County,Kansas,,
Kearny County,Kansas,,
Douglas County,Nevada,Reno-Carson City-Fernley,NV
Georgetown County,South Carolina,Myrtle Beach-Conway,SC-NC
Adams County,Pennsylvania,Harrisburg-York-Lebanon,PA
Campbell County,Wyoming,,
Crook County,Wyoming,,
Weston County,Wyoming,,
Barren County,Kentucky,Bowling Green-Glasgow,KY
Metcalfe County,Kentucky,Bowling Green-Glasgow,KY
Warren County,New York,Albany-Schenectady,NY
Washington County,New York,Albany-Schenectady,NY
Garfield County,Colorado,Edwards-Glenwood Springs,CO
Pitkin County,Colorado,Edwards-Glenwood Springs,CO
Fulton County,New York,Albany-Schenectady,NY
Wayne County,North Carolina,,
Hood County,Texas,Dallas-Fort Worth,TX-OK
Hood County,Texas,Dallas-Fort Worth,TX-OK
Polk County,Minnesota,,
Grand Forks County,North Dakota,,
Hall County,Nebraska,,
Howard County,Nebraska,,
Merrick County,Nebraska,,
Mesa County,Colorado,,
Itasca County,Minnesota,,
Ionia County,Michigan,Grand Rapids-Kentwood-Muskegon,MI
Kent County,Michigan,Grand Rapids-Kentwood-Muskegon,MI
Montcalm County,Michigan,Grand Rapids-Kentwood-Muskegon,MI
Ottawa County,Michigan,Grand Rapids-Kentwood-Muskegon,MI
Cibola County,New Mexico,,
Josephine County,Oregon,Medford-Grants Pass,OR
Barton County,Kansas,,
Cascade County,Montana,,
Weld County,Colorado,Denver-Aurora,CO
Brown County,Wisconsin,Green Bay-Shawano,WI
Kewaunee County,Wisconsin,Green Bay-Shawano,WI
Oconto County,Wisconsin,Green Bay-Shawano,WI
Greene County,Tennessee,,
Guilford County,North Carolina,Greensboro--Winston-Salem--High Point,NC
Guilford County,North Carolina,Greensboro--Winston-Salem--High Point,NC
Randolph County,North Carolina,Greensboro--Winston-Salem--High Point,NC
Randolph County,North Carolina,Greensboro--Winston-Salem--High Point,NC
Rockingham County,North Carolina,Greensboro--Winston-Salem--High Point,NC
Decatur County,Indiana,Indianapolis-Carmel-Muncie,IN
Washington County,Mississippi,,
Pitt County,North Carolina,Greenville-Kinston-Washington,NC
Darke County,Ohio,Dayton-Springfield-Kettering,OH
Anderson County,South Carolina,Greenville-Spartanburg-Anderson,SC
Greenville County,South Carolina,Greenville-Spartanburg-Anderson,SC
Laurens County,South Carolina,Greenville-Spartanburg-Anderson,SC
Pickens County,South Carolina,Greenville-Spartanburg-Anderson,SC
Carroll County,Mississippi,,
Leflore County,Mississippi,,
Greenwood County,South Carolina,Greenville-Spartanburg-Anderson,SC
Grenada County,Mississippi,,
Arroyo Municipio,Puerto Rico,San Juan-Bayamón,PR
Guayama Municipio,Puerto Rico,San Juan-Bayamón,PR
Patillas Municipio,Puerto Rico,San Juan-Bayamón,PR
Hancock County,Mississippi,,
Harrison County,Mississippi,,
Jackson County,Mississippi,,
Stone County,Mississippi,,
Texas County,Oklahoma,,
Washington County,Maryland,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Berkeley County,West Virginia,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Berkeley County,West Virginia,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Morgan County,West Virginia,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Blaine County,Idaho,,
Camas County,Idaho,,
Tangipahoa Parish,Louisiana,New Orleans-Metairie-Hammond,LA-MS
Kings County,California,Fresno-Madera-Hanford,CA
Marion County,Missouri,Quincy-Hannibal,IL-MO
Ralls County,Missouri,Quincy-Hannibal,IL-MO
Cumberland County,Pennsylvania,Harrisburg-York-Lebanon,PA
Dauphin County,Pennsylvania,Harrisburg-York-Lebanon,PA
Perry County,Pennsylvania,Harrisburg-York-Lebanon,PA
Boone County,Arkansas,,
Newton County,Arkansas,,
Rockingham County,Virginia,Harrisonburg-Staunton,VA
Harrisonburg city,Virginia,Harrisonburg-Staunton,VA
Hartford County,Connecticut,Hartford-East Hartford,CT
Middlesex County,Connecticut,Hartford-East Hartford,CT
Tolland County,Connecticut,Hartford-East Hartford,CT
Adams County,Nebraska,,
Covington County,Mississippi,Hattiesburg-Laurel,MS
Forrest County,Mississippi,Hattiesburg-Laurel,MS
Lamar County,Mississippi,Hattiesburg-Laurel,MS
Perry County,Mississippi,Hattiesburg-Laurel,MS
Ellis County,Kansas,,
Summit County,Utah,Salt Lake City-Provo-Orem,UT
Wasatch County,Utah,Salt Lake City-Provo-Orem,UT
Jefferson County,Montana,,
Lewis and Clark County,Montana,,
Phillips County,Arkansas,,
Vance County,North Carolina,Raleigh-Durham-Cary,NC
Deaf Smith County,Texas,,
Morrow County,Oregon,,
Umatilla County,Oregon,,
Alexander County,North Carolina,,
Burke County,North Carolina,,
Caldwell County,North Carolina,,
Catawba County,North Carolina,,
Hillsdale County,Michigan,,
Hawaii County,Hawaii,,
Beaufort County,South Carolina,,
Jasper County,South Carolina,,
Liberty County,Georgia,Savannah-Hinesville-Statesboro,GA
Long County,Georgia,Savannah-Hinesville-Statesboro,GA
Lea County,New Mexico,,
Allegan County,Michigan,Grand Rapids-Kentwood-Muskegon,MI
Allegan County,Michigan,Grand Rapids-Kentwood-Muskegon,MI
Citrus County,Florida,,
Hood River County,Oregon,,
Hempstead County,Arkansas,,
Nevada County,Arkansas,,
Garland County,Arkansas,Hot Springs-Malvern,AR
Houghton County,Michigan,,
Keweenaw County,Michigan,,
Lafourche Parish,Louisiana,,
Terrebonne Parish,Louisiana,,
Austin County,Texas,Houston-The Woodlands,TX
Brazoria County,Texas,Houston-The Woodlands,TX
Chambers County,Texas,Houston-The Woodlands,TX
Fort Bend County,Texas,Houston-The Woodlands,TX
Galveston County,Texas,Houston-The Woodlands,TX
Harris County,Texas,Houston-The Woodlands,TX
Liberty County,Texas,Houston-The Woodlands,TX
Montgomery County,Texas,Houston-The Woodlands,TX
Waller County,Texas,Houston-The Woodlands,TX
Columbia County,New York,Albany-Schenectady,NY
Huntingdon County,Pennsylvania,Altoona-Huntingdon,PA
Huntington County,Indiana,Fort Wayne-Huntington-Auburn,IN
Huntington County,Indiana,Fort Wayne-Huntington-Auburn,IN
Boyd County,Kentucky,Charleston-Huntington-Ashland,WV-OH-KY
Carter County,Kentucky,Charleston-Huntington-Ashland,WV-OH-KY
Greenup County,Kentucky,Charleston-Huntington-Ashland,WV-OH-KY
Lawrence County,Ohio,Charleston-Huntington-Ashland,WV-OH-KY
Cabell County,West Virginia,Charleston-Huntington-Ashland,WV-OH-KY
Putnam County,West Virginia,Charleston-Huntington-Ashland,WV-OH-KY
Putnam County,West Virginia,Charleston-Huntington-Ashland,WV-OH-KY
Wayne County,West Virginia,Charleston-Huntington-Ashland,WV-OH-KY
Limestone County,Alabama,Huntsville-Decatur,AL
Madison County,Alabama,Huntsville-Decatur,AL
Walker County,Texas,Houston-The Woodlands,TX
Beadle County,South Dakota,,
Jerauld County,South Dakota,,
Reno County,Kansas,,
McLeod County,Minnesota,Minneapolis-St. Paul,MN-WI
Bonneville County,Idaho,Idaho Falls-Rexburg-Blackfoot,ID
Butte County,Idaho,Idaho Falls-Rexburg-Blackfoot,ID
Jefferson County,Idaho,Idaho Falls-Rexburg-Blackfoot,ID
Indiana County,Pennsylvania,Pittsburgh-New Castle-Weirton,PA-OH-WV
Boone County,Indiana,Indianapolis-Carmel-Muncie,IN
Brown County,Indiana,Indianapolis-Carmel-Muncie,IN
Hamilton County,Indiana,Indianapolis-Carmel-Muncie,IN
Hancock County,Indiana,Indianapolis-Carmel-Muncie,IN
Hendricks County,Indiana,Indianapolis-Carmel-Muncie,IN
Johnson County,Indiana,Indianapolis-Carmel-Muncie,IN
Madison County,Indiana,Indianapolis-Carmel-Muncie,IN
Marion County,Indiana,Indianapolis-Carmel-Muncie,IN
Morgan County,Indiana,Indianapolis-Carmel-Muncie,IN
Putnam County,Indiana,Indianapolis-Carmel-Muncie,IN
Shelby County,Indiana,Indianapolis-Carmel-Muncie,IN
Sunflower County,Mississippi,Cleveland-Indianola,MS
Johnson County,Iowa,Cedar Rapids-Iowa City,IA
Washington County,Iowa,Cedar Rapids-Iowa City,IA
Dickinson County,Michigan,Marinette-Iron Mountain,WI-MI
Florence County,Wisconsin,Marinette-Iron Mountain,WI-MI
Tompkins County,New York,Ithaca-Cortland,NY
Jackson County,Michigan,,
Copiah County,Mississippi,Jackson-Vicksburg-Brookhaven,MS
Hinds County,Mississippi,Jackson-Vicksburg-Brookhaven,MS
Holmes County,Mississippi,Jackson-Vicksburg-Brookhaven,MS
Madison County,Mississippi,Jackson-Vicksburg-Brookhaven,MS
Rankin County,Mississippi,Jackson-Vicksburg-Brookhaven,MS
Simpson County,Mississippi,Jackson-Vicksburg-Brookhaven,MS
Yazoo County,Mississippi,Jackson-Vicksburg-Brookhaven,MS
Jackson County,Ohio,,
Chester County,Tennessee,Jackson-Brownsville,TN
Crockett County,Tennessee,Jackson-Brownsville,TN
Gibson County,Tennessee,Jackson-Brownsville,TN
Madison County,Tennessee,Jackson-Brownsville,TN
Teton County,Idaho,,
Teton County,Wyoming,,
Baker County,Florida,Jacksonville-St. Marys-Palatka,FL-GA
Clay County,Florida,Jacksonville-St. Marys-Palatka,FL-GA
Duval County,Florida,Jacksonville-St. Marys-Palatka,FL-GA
Nassau County,Florida,Jacksonville-St. Marys-Palatka,FL-GA
St. Johns County,Florida,Jacksonville-St. Marys-Palatka,FL-GA
Morgan County,Illinois,Springfield-Jacksonville-Lincoln,IL
Scott County,Illinois,Springfield-Jacksonville-Lincoln,IL
Onslow County,North Carolina,,
Cherokee County,Texas,Tyler-Jacksonville,TX
Stutsman County,North Dakota,,
Chautauqua County,New York,,
Rock County,Wisconsin,Madison-Janesville-Beloit,WI
Walker County,Alabama,Birmingham-Hoover-Talladega,AL
Dubois County,Indiana,,
Pike County,Indiana,,
Jayuya Municipio,Puerto Rico,,
Jackson County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Callaway County,Missouri,,
Cole County,Missouri,,
Moniteau County,Missouri,,
Osage County,Missouri,,
Jefferson Davis Parish,Louisiana,Lake Charles-Jennings,LA
Wayne County,Georgia,Savannah-Hinesville-Statesboro,GA
Carter County,Tennessee,Johnson City-Kingsport-Bristol,TN-VA
Carter County,Tennessee,Johnson City-Kingsport-Bristol,TN-VA
Unicoi County,Tennessee,Johnson City-Kingsport-Bristol,TN-VA
Unicoi County,Tennessee,Johnson City-Kingsport-Bristol,TN-VA
Washington County,Tennessee,Johnson City-Kingsport-Bristol,TN-VA
Washington County,Tennessee,Johnson City-Kingsport-Bristol,TN-VA
Cambria County,Pennsylvania,Johnstown-Somerset,PA
Craighead County,Arkansas,Jonesboro-Paragould,AR
Poinsett County,Arkansas,Jonesboro-Paragould,AR
Jasper County,Missouri,Joplin-Miami,MO-OK
Newton County,Missouri,Joplin-Miami,MO-OK
Juneau City and Borough,Alaska,,
Maui County,Hawaii,,
Kalamazoo County,Michigan,Kalamazoo-Battle Creek-Portage,MI
Flathead County,Montana,,
Kankakee County,Illinois,Chicago-Naperville,IL-IN-WI
Johnson County,Kansas,Kansas City-Overland Park-Kansas City,MO-KS
Leavenworth County,Kansas,Kansas City-Overland Park-Kansas City,MO-KS
Linn County,Kansas,Kansas City-Overland Park-Kansas City,MO-KS
Miami County,Kansas,Kansas City-Overland Park-Kansas City,MO-KS
Wyandotte County,Kansas,Kansas City-Overland Park-Kansas City,MO-KS
Bates County,Missouri,Kansas City-Overland Park-Kansas City,MO-KS
Caldwell County,Missouri,Kansas City-Overland Park-Kansas City,MO-KS
Cass County,Missouri,Kansas City-Overland Park-Kansas City,MO-KS
Clay County,Missouri,Kansas City-Overland Park-Kansas City,MO-KS
Clinton County,Missouri,Kansas City-Overland Park-Kansas City,MO-KS
Jackson County,Missouri,Kansas City-Overland Park-Kansas City,MO-KS
Lafayette County,Missouri,Kansas City-Overland Park-Kansas City,MO-KS
Platte County,Missouri,Kansas City-Overland Park-Kansas City,MO-KS
Ray County,Missouri,Kansas City-Overland Park-Kansas City,MO-KS
Kauai County,Hawaii,,
Buffalo County,Nebraska,,
Kearney County,Nebraska,,
Cheshire County,New Hampshire,,
Noble County,Indiana,Fort Wayne-Huntington-Auburn,IN
Dunklin County,Missouri,,
Benton County,Washington,Kennewick-Richland-Walla Walla,WA
Franklin County,Washington,Kennewick-Richland-Walla Walla,WA
Kerr County,Texas,Kerrville-Fredericksburg,TX
Ketchikan Gateway Borough,Alaska,,
Monroe County,Florida,Miami-Port St. Lucie-Fort Lauderdale,FL
Dare County,North Carolina,Virginia Beach-Norfolk,VA-NC
Bell County,Texas,,
Coryell County,Texas,,
Lampasas County,Texas,,
Hawkins County,Tennessee,Johnson City-Kingsport-Bristol,TN-VA
Sullivan County,Tennessee,Johnson City-Kingsport-Bristol,TN-VA
Scott County,Virginia,Johnson City-Kingsport-Bristol,TN-VA
Washington County,Virginia,Johnson City-Kingsport-Bristol,TN-VA
Bristol city,Virginia,Johnson City-Kingsport-Bristol,TN-VA
Ulster County,New York,New York-Newark,NY-NJ-CT-PA
Kenedy County,Texas,Corpus Christi-Kingsville-Alice,TX
Kleberg County,Texas,Corpus Christi-Kingsville-Alice,TX
Lenoir County,North Carolina,Greenville-Kinston-Washington,NC
Adair County,Missouri,,
Schuyler County,Missouri,,
Klamath County,Oregon,,
Anderson County,Tennessee,Knoxville-Morristown-Sevierville,TN
Blount County,Tennessee,Knoxville-Morristown-Sevierville,TN
Campbell County,Tennessee,Knoxville-Morristown-Sevierville,TN
Knox County,Tennessee,Knoxville-Morristown-Sevierville,TN
Loudon County,Tennessee,Knoxville-Morristown-Sevierville,TN
Morgan County,Tennessee,Knoxville-Morristown-Sevierville,TN
Roane County,Tennessee,Knoxville-Morristown-Sevierville,TN
Union County,Tennessee,Knoxville-Morristown-Sevierville,TN
Howard County,Indiana,Kokomo-Peru,IN
Belknap County,New Hampshire,Boston-Worcester-Providence,MA-RI-NH-CT
Houston County,Minnesota,,
La Crosse County,Wisconsin,,
Acadia Parish,Louisiana,Lafayette-Opelousas-Morgan City,LA
Iberia Parish,Louisiana,Lafayette-Opelousas-Morgan City,LA
Lafayette Parish,Louisiana,Lafayette-Opelousas-Morgan City,LA
St. Martin Parish,Louisiana,Lafayette-Opelousas-Morgan City,LA
Vermilion Parish,Louisiana,Lafayette-Opelousas-Morgan City,LA
Benton County,Indiana,Lafayette-West Lafayette-Frankfort,IN
Carroll County,Indiana,Lafayette-West Lafayette-Frankfort,IN
Tippecanoe County,Indiana,Lafayette-West Lafayette-Frankfort,IN
Warren County,Indiana,Lafayette-West Lafayette-Frankfort,IN
Union County,Oregon,,
Chambers County,Alabama,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Troup County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Calcasieu Parish,Louisiana,Lake Charles-Jennings,LA
Cameron Parish,Louisiana,Lake Charles-Jennings,LA
Columbia County,Florida,Gainesville-Lake City,FL
Mohave County,Arizona,Las Vegas-Henderson,NV
Mohave County,Arizona,,
Polk County,Florida,Orlando-Lakeland-Deltona,FL
Dawson County,Texas,,
Lancaster County,Pennsylvania,,
Clinton County,Michigan,,
Eaton County,Michigan,,
Ingham County,Michigan,,
Shiawassee County,Michigan,,
Albany County,Wyoming,,
Webb County,Texas,,
Doña Ana County,New Mexico,El Paso-Las Cruces,TX-NM
Mora County,New Mexico,Albuquerque-Santa Fe-Las Vegas,NM
San Miguel County,New Mexico,Albuquerque-Santa Fe-Las Vegas,NM
Clark County,Nevada,Las Vegas-Henderson,NV
Jasper County,Mississippi,Hattiesburg-Laurel,MS
Jones County,Mississippi,Hattiesburg-Laurel,MS
Scotland County,North Carolina,Fayetteville-Sanford-Lumberton,NC
Douglas County,Kansas,Kansas City-Overland Park-Kansas City,MO-KS
Lawrence County,Tennessee,Nashville-Davidson--Murfreesboro,TN
Comanche County,Oklahoma,,
Cotton County,Oklahoma,,
Laclede County,Missouri,,
Grafton County,New Hampshire,,
Sullivan County,New Hampshire,,
Orange County,Vermont,,
Windsor County,Vermont,,
Lebanon County,Pennsylvania,Harrisburg-York-Lebanon,PA
Lebanon County,Pennsylvania,Harrisburg-York-Lebanon,PA
Hockley County,Texas,Lubbock-Plainview-Levelland,TX
Union County,Pennsylvania,Bloomsburg-Berwick-Sunbury,PA
Marshall County,Tennessee,Nashville-Davidson--Murfreesboro,TN
Nez Perce County,Idaho,,
Asotin County,Washington,,
Androscoggin County,Maine,Portland-Lewiston-South Portland,ME
Mifflin County,Pennsylvania,,
Dawson County,Nebraska,,
Gosper County,Nebraska,,
Bourbon County,Kentucky,Lexington-Fayette--Richmond--Frankfort,KY
Clark County,Kentucky,Lexington-Fayette--Richmond--Frankfort,KY
Fayette County,Kentucky,Lexington-Fayette--Richmond--Frankfort,KY
Jessamine County,Kentucky,Lexington-Fayette--Richmond--Frankfort,KY
Scott County,Kentucky,Lexington-Fayette--Richmond--Frankfort,KY
Woodford County,Kentucky,Lexington-Fayette--Richmond--Frankfort,KY
Seward County,Kansas,,
Allen County,Ohio,Lima-Van Wert-Celina,OH
Logan County,Illinois,Springfield-Jacksonville-Lincoln,IL
Lancaster County,Nebraska,Lincoln-Beatrice,NE
Seward County,Nebraska,Lincoln-Beatrice,NE
