metaread,csa_md,name_metaread,name_csa_md
40,10180,"abilene, tx","Abilene, TX"
440,100220,"ann arbor, mi","Detroit-Warren-Ann Arbor, MI"
60,10380,"aguadilla, pr","Aguadilla-Isabela, PR"
4840,100364,"mayaguez, pr","Mayagüez-San Germán, PR"
80,100184,"akron, oh","Cleveland-Akron-Canton, OH"
120,10500,"albany, ga","Albany, GA"
160,100104,"albany-schenectady-troy, ny","Albany-Schenectady, NY"
1520,100172,"charlotte-gastonia-rock hill, sc","Charlotte-Concord, NC-SC"
200,100106,"albuquerque, nm","Albuquerque-Santa Fe-Las Vegas, NM"
220,10780,"alexandria, la","Alexandria, LA"
240,10900,"allentown-bethlehem-easton, pa/nj","Allentown-Bethlehem-Easton, PA-NJ"
280,100107,"altoona, pa","Altoona-Huntingdon, PA"
320,100108,"amarillo, tx","Amarillo-Pampa-Borger, TX"
380,11260,"anchorage, ak","Anchorage, AK"
450,11500,"anniston, al","Anniston-Oxford, AL"
460,100118,"appleton-oshkosh-neenah, wi","Appleton-Oshkosh-Neenah, WI"
470,100490,"arecibo, pr","San Juan-Bayamón, PR"
480,100120,"asheville, nc","Asheville-Marion-Brevard, NC"
4440,100184,"lorain-elyria, oh","Cleveland-Akron-Canton, OH"
1680,100184,"cleveland, oh","Cleveland-Akron-Canton, OH"
1920,100206,"dallas-fort worth, tx","Dallas-Fort Worth, TX-OK"
500,100122,"athens, ga","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
520,100122,"atlanta, ga","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
560,100428,"atlantic city, nj","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
2760,100258,"fort wayne, in","Fort Wayne-Huntington-Auburn, IN"
8160,100532,"syracuse, ny","Syracuse-Auburn, NY"
580,100194,"auburn-opelika, al","Columbus-Auburn-Opelika, GA-AL"
600,12260,"augusta-aiken, ga/sc","Augusta-Richmond County, GA-SC"
640,12420,"austin, tx","Austin-Round Rock-Georgetown, TX"
680,12540,"bakersfield, ca","Bakersfield, CA"
720,100548,"baltimore, md","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
730,12620,"bangor, me","Bangor, ME"
740,100148,"barnstable-yarmouth, ma","Boston-Worcester-Providence, MA-RI-NH-CT"
6840,100464,"rochester, ny","Rochester-Batavia-Seneca Falls, NY"
760,12940,"baton rouge, la","Baton Rouge, LA"
3720,100310,"kalamazoo-portage, mi","Kalamazoo-Battle Creek-Portage, MI"
6961,100474,"bay city, mi","Saginaw-Midland-Bay City, MI"
6960,100474,"saginaw-bay city-midland, mi","Saginaw-Midland-Bay City, MI"
840,13140,"beaumont-port arthur-orange, tx","Beaumont-Port Arthur, TX"
860,13380,"bellingham, wa","Bellingham, WA"
880,13740,"billings, mt","Billings, MT"
960,13780,"binghamton, ny","Binghamton, NY"
1000,100142,"birmingham, al","Birmingham-Hoover-Talladega, AL"
1010,13900,"bismarck, nd","Bismarck, ND"
1040,100145,"bloomington-normal, il","Bloomington-Pontiac, IL"
1020,100144,"bloomington, in","Bloomington-Bedford, IN"
7561,42540,"wilkes-barre-hazelton, pa","Scranton--Wilkes-Barre, PA"
7560,42540,"scranton-wilkes-barre, pa","Scranton--Wilkes-Barre, PA"
1080,100147,"boise city, id","Boise City-Mountain Home-Ontario, ID-OR"
1120,100148,"boston, ma","Boston-Worcester-Providence, MA-RI-NH-CT"
1121,100148,"lawrence-haverhill, ma/nh","Boston-Worcester-Providence, MA-RI-NH-CT"
1122,100148,"lowell, ma/nh","Boston-Worcester-Providence, MA-RI-NH-CT"
6450,100148,"portsmouth-dover-rochester, nh/me","Boston-Worcester-Providence, MA-RI-NH-CT"
1123,100148,"salem-gloucester, ma","Boston-Worcester-Providence, MA-RI-NH-CT"
2081,100216,"boulder-longmont, co","Denver-Aurora, CO"
1150,100500,"bremerton, wa","Seattle-Tacoma, WA"
8040,100408,"stamford, ct","New York-Newark, NY-NJ-CT-PA"
5481,100408,meriden,"New York-Newark, NY-NJ-CT-PA"
5482,100408,"new haven, ct","New York-Newark, NY-NJ-CT-PA"
8880,100408,"waterbury, ct","New York-Newark, NY-NJ-CT-PA"
5760,100408,"norwalk, ct","New York-Newark, NY-NJ-CT-PA"
1930,100408,"danbury, ct","New York-Newark, NY-NJ-CT-PA"
1240,100154,"brownsville-harlingen-san benito, tx","Brownsville-Harlingen-Raymondville, TX"
4800,100360,"mansfield, oh","Mansfield-Ashland-Bucyrus, OH"
1281,100160,"niagara falls, ny","Buffalo-Cheektowaga-Olean, NY"
1280,100160,"buffalo-niagara falls, ny","Buffalo-Cheektowaga-Olean, NY"
1300,100268,"burlington, nc","Greensboro--Winston-Salem--High Point, NC"
3120,100268,"greensboro-winston salem-high point, nc","Greensboro--Winston-Salem--High Point, NC"
1310,100162,"burlington, vt","Burlington-South Burlington-Barre, VT"
1320,100184,"canton, oh","Cleveland-Akron-Canton, OH"
2700,100163,"fort myers-cape coral, fl","Cape Coral-Fort Myers-Naples, FL"
1350,16220,"casper, wy","Casper, WY"
1360,100168,"cedar rapids, ia","Cedar Rapids-Iowa City, IA"
1400,16580,"champaign-urbana-rantoul, il","Champaign-Urbana, IL"
1480,100170,"charleston, wv","Charleston-Huntington-Ashland, WV-OH-KY"
1440,16700,"charleston-n. charleston, sc","Charleston-North Charleston, SC"
1521,100172,"rock hill, sc","Charlotte-Concord, NC-SC"
7140,100172,"salisbury-concord, nc","Charlotte-Concord, NC-SC"
1540,16820,"charlottesville, va","Charlottesville, VA"
1560,100174,"chattanooga, tn/ga","Chattanooga-Cleveland-Dalton, TN-GA"
1580,16940,"cheyenne, wy","Cheyenne, WY"
1600,100176,"chicago-gary-lake, il","Chicago-Naperville, IL-IN-WI"
1601,100176,"aurora-elgin, il","Chicago-Naperville, IL-IN-WI"
1602,100176,"gary-hammond-east chicago, in","Chicago-Naperville, IL-IN-WI"
1604,100176,"lake county, il","Chicago-Naperville, IL-IN-WI"
3800,100176,"kenosha, wi","Chicago-Naperville, IL-IN-WI"
1603,100176,"joliet, il","Chicago-Naperville, IL-IN-WI"
1620,17020,"chico, ca","Chico, CA"
1640,100178,"cincinnati, oh/ky/in","Cincinnati-Wilmington-Maysville, OH-KY-IN"
3200,100178,"hamilton-middleton, oh","Cincinnati-Wilmington-Maysville, OH-KY-IN"
1660,17300,"clarksville-hopkinsville, tn/ky","Clarksville, TN-KY"
1260,17780,"bryan-college station, tx","College Station-Bryan, TX"
1720,17820,"colorado springs, co","Colorado Springs, CO"
1740,100190,"columbia, mo","Columbia-Moberly-Mexico, MO"
1760,100192,"columbia, sc","Columbia-Orangeburg-Newberry, SC"
1800,100194,"columbus, ga/al","Columbus-Auburn-Opelika, GA-AL"
1840,100198,"columbus, oh","Columbus-Marion-Zanesville, OH"
5640,100198,"newark, oh","Columbus-Marion-Zanesville, OH"
1880,100204,"corpus christi, tx","Corpus Christi-Kingsville-Alice, TX"
2750,18880,"fort walton beach, fl","Crestview-Fort Walton Beach-Destin, FL"
1900,19060,"cumberland, md/wv","Cumberland, MD-WV"
1921,100206,"fort worth-arlington, tx","Dallas-Fort Worth, TX-OK"
1950,19260,"danville, va","Danville, VA"
5160,100380,"mobile, al","Mobile-Daphne-Fairhope, AL"
1960,100209,"davenport, ia - rock island-moline, il","Davenport-Moline, IA-IL"
2001,100212,"springfield, oh","Dayton-Springfield-Kettering, OH"
2000,100212,"dayton-springfield, oh","Dayton-Springfield-Kettering, OH"
2030,100290,"decatur, al","Huntsville-Decatur, AL"
2040,19500,"decatur, il","Decatur, IL"
2020,100422,"daytona beach, fl","Orlando-Lakeland-Deltona, FL"
2080,100216,"denver-boulder-longmont, co","Denver-Aurora, CO"
2120,100218,"des moines, ia","Des Moines-Ames-West Des Moines, IA"
2121,100218,"polk, ia","Des Moines-Ames-West Des Moines, IA"
2160,100220,"detroit, mi","Detroit-Warren-Ann Arbor, MI"
2180,100222,"dothan, al","Dothan-Ozark, AL"
2190,100428,"dover, de","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
2200,20220,"dubuque, ia","Dubuque, IA"
2240,20260,"duluth-superior, mn/wi","Duluth, MN-WI"
6641,100450,"durham, nc","Raleigh-Durham-Cary, NC"
6640,100450,"raleigh-durham, nc","Raleigh-Durham-Cary, NC"
2290,100232,"eau claire, wi","Eau Claire-Menomonie, WI"
2320,100515,"elkhart-goshen, in","South Bend-Elkhart-Mishawaka, IN-MI"
2330,100236,"elmira, ny","Elmira-Corning, NY"
2310,100238,"el paso, tx","El Paso-Las Cruces, TX-NM"
2340,21420,"enid, ok","Enid, OK"
2360,100240,"erie, pa","Erie-Meadville, PA"
2400,21660,"eugene-springfield, or","Eugene-Springfield, OR"
2440,21780,"evansville, in/ky","Evansville, IN-KY"
2520,100244,"fargo-morehead, nd/mn","Fargo-Wahpeton, ND-MN"
2560,100246,"fayetteville, nc","Fayetteville-Sanford-Lumberton, NC"
2580,22220,"fayetteville-springdale, ar","Fayetteville-Springdale-Rogers, AR"
2620,22380,"flagstaff, az/ut","Flagstaff, AZ"
2640,100220,"flint, mi","Detroit-Warren-Ann Arbor, MI"
2660,22500,"florence, sc","Florence, SC"
2650,22520,"florence, al","Florence-Muscle Shoals, AL"
2670,22660,"fort collins-loveland, co","Fort Collins, CO"
2720,22900,"fort smith, ar/ok","Fort Smith, AR-OK"
3920,100320,"lafayette-w. lafayette, in","Lafayette-West Lafayette-Frankfort, IN"
2840,100260,"fresno, ca","Fresno-Madera-Hanford, CA"
2880,23460,"gadsden, al","Gadsden, AL"
3160,100273,"greenville-spartenburg-anderson, sc","Greenville-Spartanburg-Anderson, SC"
2900,100264,"gainesville, fl","Gainesville-Lake City, FL"
2970,100104,"glens falls, ny","Albany-Schenectady, NY"
2980,24140,"goldsboro, nc","Goldsboro, NC"
2990,24220,"grand forks, nd/mn","Grand Forks, ND-MN"
3010,24300,"grand junction, co","Grand Junction, CO"
5320,100266,"muskegon-norton shores-muskegon heights, mi","Grand Rapids-Kentwood-Muskegon, MI"
3000,100266,"grand rapids, mi","Grand Rapids-Kentwood-Muskegon, MI"
3040,24500,"great falls, mt","Great Falls, MT"
3060,100216,"greeley, co","Denver-Aurora, CO"
3080,100267,"green bay, wi","Green Bay-Shawano, WI"
3121,100268,"winston-salem, nc","Greensboro--Winston-Salem--High Point, NC"
3150,100272,"greenville, nc","Greenville-Kinston-Washington, NC"
3161,100273,"anderson, sc","Greenville-Spartanburg-Anderson, SC"
6030,25060,"pascagoula-moss point, ms","Gulfport-Biloxi, MS"
920,25060,"biloxi-gulfport, ms","Gulfport-Biloxi, MS"
3180,100548,"hagerstown, md","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
8840,100548,"washington, dc/md/va","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
3240,100276,"harrisburg-lebanon-carlisle, pa","Harrisburg-York-Lebanon, PA"
3283,100278,"new britain, ct","Hartford-East Hartford, CT"
3280,100278,"hartford-bristol-middleton-new britain, ct","Hartford-East Hartford, CT"
3281,100278,"bristol, ct","Hartford-East Hartford, CT"
3282,100278,"middletown, ct","Hartford-East Hartford, CT"
3300,100279,"hattiesburg, ms","Hattiesburg-Laurel, MS"
3290,25860,"hickory-morganton, nc","Hickory-Lenoir-Morganton, NC"
3350,26380,"houma-thibodoux, la","Houma-Thibodaux, LA"
3361,100288,"brazoria, tx","Houston-The Woodlands, TX"
3360,100288,"houston-brazoria, tx","Houston-The Woodlands, TX"
2920,100288,"galveston-texas city, tx","Houston-The Woodlands, TX"
3400,100170,"huntington-ashland, wv/ky/oh","Charleston-Huntington-Ashland, WV-OH-KY"
3440,100290,"huntsville, al","Huntsville-Decatur, AL"
400,100294,"anderson, in","Indianapolis-Carmel-Muncie, IN"
3480,100294,"indianapolis, in","Indianapolis-Carmel-Muncie, IN"
3500,100168,"iowa city, ia","Cedar Rapids-Iowa City, IA"
3520,27100,"jackson, mi","Jackson, MI"
3560,100298,"jackson, ms","Jackson-Vicksburg-Brookhaven, MS"
3580,100297,"jackson, tn","Jackson-Brownsville, TN"
3590,100300,"jacksonville, fl","Jacksonville-St. Marys-Palatka, FL-GA"
3600,27340,"jacksonville, nc","Jacksonville, NC"
3610,27460,"jamestown-dunkirk, ny","Jamestown-Dunkirk-Fredonia, NY"
3620,100357,"janesville-beloit, wi","Madison-Janesville-Beloit, WI"
3660,100304,"johnson city-kingsport-bristol, tn/va","Johnson City-Kingsport-Bristol, TN-VA"
3680,100306,"johnstown, pa","Johnstown-Somerset, PA"
3710,100309,"joplin, mo","Joplin-Miami, MO-OK"
780,100310,"battle creek, mi","Kalamazoo-Battle Creek-Portage, MI"
3740,100176,"kankakee, il","Chicago-Naperville, IL-IN-WI"
3760,100312,"kansas city, mo/ks","Kansas City-Overland Park-Kansas City, MO-KS"
6740,100313,"richland-kennewick-pasco, wa","Kennewick-Richland-Walla Walla, WA"
3810,28660,"kileen-temple, tx","Killeen-Temple, TX"
3840,100315,"knoxville, tn","Knoxville-Morristown-Sevierville, TN"
3850,100316,"kokomo, in","Kokomo-Peru, IN"
3870,29100,"lacrosse, wi","La Crosse-Onalaska, WI-MN"
3880,100318,"lafayette, la","Lafayette-Opelousas-Morgan City, LA"
3960,100324,"lake charles, la","Lake Charles-Jennings, LA"
4120,100332,"las vegas, nv","Las Vegas-Henderson, NV"
3980,100422,"lakeland-winterhaven, fl","Orlando-Lakeland-Deltona, FL"
4000,29540,"lancaster, pa","Lancaster, PA"
4040,29620,"lansing-e. lansing, mi","Lansing-East Lansing, MI"
4080,29700,"laredo, tx","Laredo, TX"
4100,100238,"las cruces, nm","El Paso-Las Cruces, TX-NM"
4150,100312,"lawrence, ks","Kansas City-Overland Park-Kansas City, MO-KS"
4200,30020,"lawton, ok","Lawton, OK"
4240,100438,"lewiston-auburn, me","Portland-Lewiston-South Portland, ME"
4280,100336,"lexington-fayette, ky","Lexington-Fayette--Richmond--Frankfort, KY"
4320,100338,"lima, oh","Lima-Van Wert-Celina, OH"
4360,100339,"lincoln, ne","Lincoln-Beatrice, NE"
4400,100340,"little rock-n. little rock, ar","Little Rock-North Little Rock, AR"
4420,30980,"longview-marshall, tx","Longview, TX"
7490,100106,"santa fe, nm","Albuquerque-Santa Fe-Las Vegas, NM"
4481,100348,"anaheim-santa ana-garden grove, ca","Los Angeles-Long Beach, CA"
4482,100348,"orange county, ca","Los Angeles-Long Beach, CA"
4480,100348,"los angeles-long beach, ca","Los Angeles-Long Beach, CA"
4520,100350,"louisville, ky/in","Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN"
4600,100352,"lubbock, tx","Lubbock-Plainview-Levelland, TX"
4640,31340,"lynchburg, va","Lynchburg, VA"
4680,100356,"macon-warner robins, ga","Macon-Bibb County--Warner Robins, GA"
4720,100357,"madison, wi","Madison-Janesville-Beloit, WI"
5350,100148,"nashua, nh","Boston-Worcester-Providence, MA-RI-NH-CT"
4760,100148,"manchester, nh","Boston-Worcester-Providence, MA-RI-NH-CT"
6020,100425,"parkersburg-marietta,wv/oh","Parkersburg-Marietta-Vienna, WV-OH"
4880,100365,"mcallen-edinburg-pharr-mission, tx","McAllen-Edinburg, TX"
4890,100366,"medford, or","Medford-Grants Pass, OR"
4920,100368,"memphis, tn/ar/ms","Memphis-Forrest City, TN-MS-AR"
4940,100488,"merced, ca","San Jose-San Francisco-Oakland, CA"
2680,100370,"fort lauderdale-hollywood-pompano beach, fl","Miami-Port St. Lucie-Fort Lauderdale, FL"
5000,100370,"miami-hialeah, fl","Miami-Port St. Lucie-Fort Lauderdale, FL"
8960,100370,"west palm beach-boca raton-delray beach, fl","Miami-Port St. Lucie-Fort Lauderdale, FL"
5040,100372,"midland, tx","Midland-Odessa, TX"
5800,100372,"odessa, tx","Midland-Odessa, TX"
5080,100376,"milwaukee, wi","Milwaukee-Racine-Waukesha, WI"
7680,100508,"shreveport, la","Shreveport-Bossier City-Minden, LA"
5120,100378,"minneapolis-st. paul, mn","Minneapolis-St. Paul, MN-WI"
5140,33540,"missoula, mt","Missoula, MT"
5170,100488,"modesto, ca","San Jose-San Francisco-Oakland, CA"
5200,100384,"monroe, la","Monroe-Ruston, LA"
5240,100388,"montgomery, al","Montgomery-Selma-Alexander City, AL"
5280,100294,"muncie, in","Indianapolis-Carmel-Muncie, IN"
9200,48900,"wilmington, nc","Wilmington, NC"
5330,100396,"myrtle beach, sc","Myrtle Beach-Conway, SC-NC"
7362,100488,"vallejo-fairfield-napa, ca","San Jose-San Francisco-Oakland, CA"
5340,100163,"naples, fl","Cape Coral-Fort Myers-Naples, FL"
5360,100400,"nashville, tn","Nashville-Davidson--Murfreesboro, TN"
1160,100408,"bridgeport, ct","New York-Newark, NY-NJ-CT-PA"
5480,100408,"new haven-meriden, ct","New York-Newark, NY-NJ-CT-PA"
5560,100406,"new orleans, la","New Orleans-Metairie-Hammond, LA-MS"
5601,100408,"nassau co, ny","New York-Newark, NY-NJ-CT-PA"
5600,100408,"new york, ny-northeastern nj","New York-Newark, NY-NJ-CT-PA"
5660,100408,"newburgh-middletown, ny","New York-Newark, NY-NJ-CT-PA"
5460,100408,"new brunswick-perth amboy-sayreville, nj","New York-Newark, NY-NJ-CT-PA"
4410,100408,"long branch-asbury park, nj","New York-Newark, NY-NJ-CT-PA"
5190,100408,"monmouth-ocean, nj","New York-Newark, NY-NJ-CT-PA"
5604,100408,"middlesex-somerset-hunterdon, nj","New York-Newark, NY-NJ-CT-PA"
5602,100408,"bergen-passaic, nj","New York-Newark, NY-NJ-CT-PA"
5603,100408,"jersey city, nj","New York-Newark, NY-NJ-CT-PA"
5605,100408,"newark, nj","New York-Newark, NY-NJ-CT-PA"
870,100515,"benton harbor, mi","South Bend-Elkhart-Mishawaka, IN-MI"
1140,100412,"bradenton, fl","North Port-Sarasota, FL"
7510,100412,"sarasota, fl","North Port-Sarasota, FL"
5520,100278,"new london-norwich, ct/ri","Hartford-East Hartford, CT"
7600,100500,"seattle-everett, wa","Seattle-Tacoma, WA"
5790,36100,"ocala, fl","Ocala, FL"
7160,100482,"salt lake city-ogden, ut","Salt Lake City-Provo-Orem, UT"
5880,100416,"oklahoma city, ok","Oklahoma City-Shawnee, OK"
5910,100500,"olympia, wa","Seattle-Tacoma, WA"
5920,100420,"omaha, ne/ia","Omaha-Council Bluffs-Fremont, NE-IA"
5960,100422,"orlando, fl","Orlando-Lakeland-Deltona, FL"
5990,36980,"owensboro, ky","Owensboro, KY"
8730,100348,"ventura-oxnard-simi valley, ca","Los Angeles-Long Beach, CA"
4900,37340,"melbourne-titusville-cocoa-palm bay, fl","Palm Bay-Melbourne-Titusville, FL"
6010,37460,"panama city, fl","Panama City, FL"
6080,100426,"pensacola, fl","Pensacola-Ferry Pass, FL-AL"
6120,37900,"peoria, il","Peoria, IL"
6160,100428,"philadelphia, pa/nj","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
9160,100428,"wilmington, de/nj/md","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
6200,100429,"phoenix, az","Phoenix-Mesa, AZ"
6240,100340,"pine bluff, ar","Little Rock-North Little Rock, AR"
6280,100430,"pittsburgh-beaver valley, pa","Pittsburgh-New Castle-Weirton, PA-OH-WV"
6281,100430,"beaver county, pa","Pittsburgh-New Castle-Weirton, PA-OH-WV"
6320,38340,"pittsfield, ma","Pittsfield, MA"
6360,100434,"ponce, pr","Ponce-Yauco-Coamo, PR"
6400,100438,"portland, me","Portland-Lewiston-South Portland, ME"
6441,100440,"vancouver, wa","Portland-Vancouver-Salem, OR-WA"
6440,100440,"portland-vancouver, or","Portland-Vancouver-Salem, OR-WA"
2710,100370,"fort pierce, fl","Miami-Port St. Lucie-Fort Lauderdale, FL"
6460,100408,"poughkeepsie, ny","New York-Newark, NY-NJ-CT-PA"
2281,100408,"dutchess co., ny","New York-Newark, NY-NJ-CT-PA"
5950,100408,"orange, ny","New York-Newark, NY-NJ-CT-PA"
6481,100148,"fall river, ma/ri","Boston-Worcester-Providence, MA-RI-NH-CT"
6482,100148,"pawtuckett-woonsocket-attleboro, ri/ma","Boston-Worcester-Providence, MA-RI-NH-CT"
1200,100148,"brockton, ma","Boston-Worcester-Providence, MA-RI-NH-CT"
5400,100148,"new bedford, ma","Boston-Worcester-Providence, MA-RI-NH-CT"
6480,100148,"providence-fall river-pawtucket, ma/ri","Boston-Worcester-Providence, MA-RI-NH-CT"
6520,100482,"provo-orem, ut","Salt Lake City-Provo-Orem, UT"
6560,100444,"pueblo, co","Pueblo-Cañon City, CO"
6580,100412,"punta gorda, fl","North Port-Sarasota, FL"
6600,100376,"racine, wi","Milwaukee-Racine-Waukesha, WI"
6660,100452,"rapid city, sd","Rapid City-Spearfish, SD"
6680,100428,"reading, pa","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
6690,100454,"redding, ca","Redding-Red Bluff, CA"
6720,100456,"reno, nv","Reno-Carson City-Fernley, NV"
6761,40060,"petersburg-colonial heights, va","Richmond, VA"
6760,40060,"richmond-petersburg, va","Richmond, VA"
6781,100348,"san bernardino, ca","Los Angeles-Long Beach, CA"
6780,100348,"riverside-san bernardino, ca","Los Angeles-Long Beach, CA"
6800,40220,"roanoke, va","Roanoke, VA"
6880,100466,"rockford, il","Rockford-Freeport-Rochelle, IL"
6820,100462,"rochester, mn","Rochester-Austin, MN"
6895,100468,"rocky mount, nc","Rocky Mount-Wilson-Roanoke Rapids, NC"
6920,100472,"sacramento, ca","Sacramento-Roseville, CA"
9270,100472,"yolo, ca","Sacramento-Roseville, CA"
6980,100378,"st. cloud, mn","Minneapolis-St. Paul, MN-WI"
7000,100312,"st. joseph, mo","Kansas City-Overland Park-Kansas City, MO-KS"
7040,100476,"st. louis, mo/il","St. Louis-St. Charles-Farmington, MO-IL"
9320,100566,"youngstown-warren, oh/pa","Youngstown-Warren, OH-PA"
7080,100440,"salem, or","Portland-Vancouver-Salem, OR-WA"
7120,41500,"salinas-sea side-monterey, ca","Salinas, CA"
7161,100482,ogden,"Salt Lake City-Provo-Orem, UT"
7200,41660,"san angelo, tx","San Angelo, TX"
7240,100484,"san antonio, tx","San Antonio-New Braunfels-Pearsall, TX"
7320,41740,"san diego, ca","San Diego-Chula Vista-Carlsbad, CA"
7361,100488,"oakland, ca","San Jose-San Francisco-Oakland, CA"
7360,100488,"san francisco-oakland-vallejo, ca","San Jose-San Francisco-Oakland, CA"
7400,100488,"san jose, ca","San Jose-San Francisco-Oakland, CA"
7440,100490,"san juan-bayamon, pr","San Juan-Bayamón, PR"
1330,100490,"caguas, pr","San Juan-Bayamón, PR"
7460,42020,"san luis obispo-atascad-p robles, ca","San Luis Obispo-Paso Robles, CA"
7480,100488,"santa cruz, ca","San Jose-San Francisco-Oakland, CA"
7470,42200,"santa barbara-santa maria-lompoc, ca","Santa Maria-Santa Barbara, CA"
7500,100488,"santa rosa-petaluma, ca","San Jose-San Francisco-Oakland, CA"
7520,100496,"savannah, ga","Savannah-Hinesville-Statesboro, GA"
8200,100500,"tacoma, wa","Seattle-Tacoma, WA"
7620,43100,"sheboygan, wi","Sheboygan, WI"
7640,100206,"sherman-denison, tx","Dallas-Fort Worth, TX-OK"
7720,43580,"sioux city, ia/ne","Sioux City, IA-NE-SD"
7760,43620,"sioux falls, sd","Sioux Falls, SD"
7800,100515,"south bend-mishawaka, in","South Bend-Elkhart-Mishawaka, IN-MI"
7840,100518,"spokane, wa","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
7880,100522,"springfield, il","Springfield-Jacksonville-Lincoln, IL"
8000,44140,"springfield-holyoke-chicopee, ma","Springfield, MA"
7920,44180,"springfield, mo","Springfield, MO"
8050,100524,"state college, pa","State College-DuBois, PA"
8120,100488,"stockton, ca","San Jose-San Francisco-Oakland, CA"
8140,44940,"sumter, sc","Sumter, SC"
8240,45220,"tallahassee, fl","Tallahassee, FL"
8280,45300,"tampa-st. petersburg-clearwater, fl","Tampa-St. Petersburg-Clearwater, FL"
8320,45460,"terre haute, in","Terre Haute, IN"
8360,45500,"texarkana, tx/ar","Texarkana, TX-AR"
8400,100534,"toledo, oh/mi","Toledo-Findlay-Tiffin, OH"
8440,45820,"topeka, ks","Topeka, KS"
8480,100408,"trenton, nj","New York-Newark, NY-NJ-CT-PA"
8520,100536,"tucson, az","Tucson-Nogales, AZ"
8560,100538,"tulsa, ok","Tulsa-Muskogee-Bartlesville, OK"
8600,46220,"tuscaloosa, al","Tuscaloosa, AL"
8640,100540,"tyler, tx","Tyler-Jacksonville, TX"
3320,46520,"honolulu, hi","Urban Honolulu, HI"
8680,46540,"utica-rome, ny","Utica-Rome, NY"
8750,100544,"victoria, tx","Victoria-Port Lavaca, TX"
8760,100428,"vineland-milville-bridgetown, nj","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
5720,100545,"norfolk-va beach-newport news, va","Virginia Beach-Norfolk, VA-NC"
5721,100545,newport news-hampton,"Virginia Beach-Norfolk, VA-NC"
5722,100545,norfolk- va beach-portsmouth,"Virginia Beach-Norfolk, VA-NC"
8780,47300,"visalia-tulare-porterville, ca","Visalia, CA"
8800,47380,"waco, tx","Waco, TX"
8920,47940,"waterloo-cedar falls, ia","Waterloo-Cedar Falls, IA"
8940,100554,"wausau, wi","Wausau-Stevens Point-Wisconsin Rapids, WI"
8080,100430,"steubenville-weirton,oh/wv","Pittsburgh-New Castle-Weirton, PA-OH-WV"
9000,48540,"wheeling, wv/oh","Wheeling, WV-OH"
9040,100556,"wichita, ks","Wichita-Winfield, KS"
9080,48660,"wichita falls, tx","Wichita Falls, TX"
9140,100558,"williamsport, pa","Williamsport-Lock Haven, PA"
9240,100148,"worcester, ma","Boston-Worcester-Providence, MA-RI-NH-CT"
2600,100148,"fitchburg-leominster, ma","Boston-Worcester-Providence, MA-RI-NH-CT"
9260,49420,"yakima, wa","Yakima, WA"
9280,100276,"york, pa","Harrisburg-York-Lebanon, PA"
7610,100566,"sharon, pa","Youngstown-Warren, OH-PA"
9340,100472,"yuba city, ca","Sacramento-Roseville, CA"
9360,49740,"yuma, az","Yuma, AZ"
